N,P,K,plant,temp,humidity,ph,rainfall
80.0,60.0,40.0,Kangkung,28.0,80.0,6.5,116.66666666666667
90.0,50.0,50.0,Kangkung,27.5,70.0,6.0,91.66666666666667
100.0,40.0,30.0,Kangkung,25.0,85.0,7.0,145.83333333333334
80.0,60.0,60.0,Kangkung,17.5,80.0,6.5,154.16666666666666
80.0,30.0,45.0,Kangkung,28.0,90.0,6.5,83.33333333333333
95.0,40.0,55.0,Kangkung,27.5,93.0,6.0,104.16666666666667
70.0,25.0,40.0,Kangkung,25.0,85.0,6.7,75.0
80.0,48.0,40.0,Kangkung,23.5,82.5,6.45,241.5
40.0,10.0,60.0,Kangkung,20.835,72.5,6.0,98.86979166666667
60.0,30.0,30.0,Bayam,25.0,70.0,6.5,70.83333333333333
80.0,40.0,40.0,Bayam,27.0,80.0,6.0,95.83333333333333
100.0,50.0,60.0,Bayam,30.0,60.0,7.0,125.0
120.0,60.0,60.0,Bayam,25.5,70.0,6.5,145.83333333333334
85.0,35.0,50.0,Bayam,27.5,90.0,6.3,91.66666666666667
100.0,45.0,60.0,Bayam,28.5,95.0,6.5,112.5
75.0,30.0,45.0,Bayam,26.0,87.0,6.0,83.33333333333333
120.0,40.0,126.0,Bayam,15.55,90.0,6.25,37.5
21.0,47.0,20.0,Bayam,28.5,85.0,6.7,48.0
50.0,150.0,150.0,Bayam,14.15,99.0,6.25,81.34722222222221
75.0,100.0,100.0,Bayam,16.95,97.5,6.25,81.34722222222221
100.0,50.0,50.0,Bayam,19.45,99.0,6.25,81.34722222222221
160.0,50.0,140.0,Bayam,18.5,85.0,6.6,81.34722222222221
80.0,20.0,200.0,Bayam,23.055,82.5,6.75,81.34722222222221
200.0,60.0,150.0,Bayam,18.3,85.0,6.25,81.34722222222221
40.0,30.0,30.0,Selada,18.5,70.0,6.5,58.333333333333336
60.0,40.0,40.0,Selada,21.5,80.0,6.3,75.0
80.0,20.0,50.0,Selada,16.0,75.0,6.85,58.333333333333336
120.0,150.0,150.0,Selada,20.0,80.0,6.5,133.33333333333334
60.0,30.0,40.0,Selada,19.5,97.5,6.5,54.166666666666664
50.0,25.0,35.0,Selada,21.5,92.5,6.15,62.5
70.0,35.0,45.0,Selada,23.0,95.0,6.5,70.83333333333333
120.0,40.0,100.0,Selada,18.35,90.0,6.4,37.5
22.0,17.0,31.0,Selada,27.5,95.0,6.0,178.5
50.0,200.0,200.0,Selada,11.350000000000001,99.0,6.25,58.94444444444445
100.0,150.0,150.0,Selada,19.7,99.0,6.25,58.94444444444445
150.0,100.0,100.0,Selada,22.5,99.0,6.25,58.94444444444445
150.0,50.0,125.0,Selada,18.5,80.0,6.75,58.94444444444445
200.0,60.0,150.0,Selada,24.0,89.5,6.0,58.94444444444445
100.0,50.0,0.0,Selada,18.335,67.5,6.5,58.94444444444445
120.0,60.0,60.0,Cabai,27.0,75.0,6.0,104.16666666666667
150.0,80.0,100.0,Cabai,24.0,67.5,6.5,83.33333333333333
100.0,40.0,80.0,Cabai,22.0,80.0,6.3,133.33333333333334
120.0,60.0,60.0,Cabai,25.0,70.0,6.25,87.5
110.0,50.0,50.0,Cabai,25.0,77.5,6.15,75.0
130.0,60.0,60.0,Cabai,27.0,82.5,6.5,91.66666666666667
100.0,45.0,45.0,Cabai,23.0,72.5,6.15,62.5
118.0,46.0,20.0,Cabai,26.0,80.0,6.9,80.5
50.0,200.0,200.0,Cabai,19.7,92.5,6.25,80.52604166666667
100.0,150.0,150.0,Cabai,23.85,92.5,6.25,80.52604166666667
130.0,100.0,100.0,Cabai,22.5,92.5,6.25,80.52604166666667
100.0,50.0,200.0,Cabai,26.65,70.0,6.25,80.52604166666667
125.0,75.0,275.0,Cabai,29.450000000000003,77.5,6.25,80.52604166666667
1.8,1.0,125.0,Cabai,26.665,79.23076923076923,6.25,80.52604166666667
150.0,100.0,350.0,Cabai,30.5,79.23076923076923,6.303571428571429,80.52604166666667
150.0,80.0,100.0,Daun Bawang,21.5,77.5,6.5,66.66666666666667
120.0,60.0,80.0,Daun Bawang,18.5,67.5,7.0,54.166666666666664
180.0,100.0,120.0,Daun Bawang,24.0,82.5,6.0,83.33333333333333
150.0,150.0,150.0,Daun Bawang,20.0,70.0,6.0,116.66666666666667
90.0,40.0,45.0,Daun Bawang,20.0,90.0,6.5,66.66666666666667
110.0,50.0,55.0,Daun Bawang,23.0,93.0,6.0,83.33333333333333
75.0,250.0,250.0,Garlic,21.5,67.5,6.5,75.0
80.0,220.0,240.0,Garlic,25.0,67.5,6.5,83.33333333333333
90.0,200.0,260.0,Garlic,23.5,75.0,6.65,62.5
240.0,60.0,100.0,Garlic,27.0,60.0,6.5,66.66666666666667
200.0,80.0,120.0,Garlic,25.0,70.0,7.0,58.333333333333336
180.0,50.0,80.0,Garlic,28.5,55.0,6.15,79.16666666666667
175.0,125.0,150.0,Garlic,27.0,65.0,6.25,66.66666666666667
150.0,100.0,125.0,Garlic,28.5,60.0,6.3,83.33333333333333
180.0,150.0,175.0,Garlic,25.0,70.0,6.75,75.0
80.0,40.0,45.0,Garlic,27.0,65.0,6.5,58.333333333333336
20.0,15.0,20.0,Aloe vera,25.0,75.0,7.5,97.91666666666667
45.0,45.0,45.0,Aloe vera,30.0,60.0,7.6,300.0
50.0,50.0,50.0,Aloe vera,32.5,65.0,7.5,175.0
38.0,37.0,38.0,Aloe vera,30.0,60.0,6.75,300.0
20.0,20.0,20.0,Aloe vera,32.5,65.0,7.416666666666666,375.0
55.0,55.0,55.0,Aloe vera,35.0,65.0,7.4,465.0
38.0,37.0,38.0,Aloe vera,27.5,65.0,7.5,465.0
100.0,200.0,200.0,Basil,19.700000000000003,97.5,6.25,78.01008967203184
120.0,120.0,120.0,Basil,24.0,93.75,6.75,78.01008967203184
110.0,160.0,160.0,Basil,22.5,92.5,6.0,78.01008967203184
50.0,200.0,300.0,Bell pepper,19.75,97.5,6.25,54.48579569055037
80.0,10.0,50.0,Bell pepper,24.0,92.5,6.5,54.48579569055037
100.0,10.0,50.0,Bell pepper,27.0,92.5,6.9,54.48579569055037
60.0,10.0,50.0,Bell pepper,24.0,86.875,6.5,54.48579569055037
40.0,10.0,50.0,Bell pepper,24.0,86.875,6.5,54.48579569055037
66.0,48.0,100.0,Bell pepper,23.85,65.0,6.15,54.48579569055037
66.0,48.0,100.0,Bell pepper,22.5,86.875,6.25,54.48579569055037
99.01501272264632,89.64465648854963,114.72837150127228,Cat's whiskers,29.0,82.86261181800656,5.5,183.33333333333334
80.0,150.0,200.0,Cherry tomato,30.8,92.5,6.25,476.1295482866044
130.0,200.0,420.0,Cherry tomato,30.8,92.5,6.25,476.1295482866044
105.0,175.0,310.0,Cherry tomato,21.0,72.5,6.5,476.1295482866044
75.0,50.0,50.0,Ginger,27.5,80.0,6.25,166.66666666666666
75.0,50.0,50.0,Ginger,25.0,80.0,5.25,166.66666666666666
150.0,60.0,60.0,Lemongrass,27.5,82.5,6.5,200.0
50.0,50.0,40.0,Lemongrass,25.0,82.5,6.0,187.5
20.0,50.0,40.0,Lemongrass,26.5,82.5,6.5,154.16666666666666
99.01501272264632,89.64465648854963,114.72837150127228,Pandan,26.5,75.0,6.5,78.01008967203184
99.01501272264632,89.64465648854963,114.72837150127228,Pandan,23.85,70.0,6.0,78.01008967203184
50.0,110.0,200.0,Potato,12.2,92.5,6.0,52.916666666666664
150.0,200.0,300.0,Potato,12.2,92.5,6.0,52.916666666666664
100.0,155.0,250.0,Potato,16.5,92.5,6.2,52.916666666666664
100.0,155.0,250.0,Potato,16.9,92.5,5.5,52.916666666666664
60.0,40.0,40.0,Turmeric,25.0,85.0,6.15,156.25
60.0,40.0,40.0,Turmeric,25.0,85.0,6.0,166.66666666666666
100.0,150.0,150.0,Zucchini,23.9,97.5,6.25,78.01008967203184
100.0,150.0,150.0,Zucchini,26.5,97.5,6.4,78.01008967203184
100.0,150.0,150.0,Zucchini,28.05,97.5,7.0,78.01008967203184
50.0,150.0,150.0,Celery,14.149999999999999,97.5,6.25,61.90246235721704
